epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,914.07,1.53231,0.83436,0.91785,0.94841,0.89935,0.95003,0.48934,1.67923,0.79516,0.90175,0.00070795,0.00070795,0.00070795
61,929.504,1.51565,0.80604,0.91591,0.95645,0.88736,0.94991,0.4825,1.65657,0.81426,0.89859,0.000703,0.000703,0.000703
62,944.885,1.52204,0.79928,0.9228,0.94038,0.93353,0.95871,0.48968,1.66827,0.80374,0.89861,0.00069805,0.00069805,0.00069805
63,960.465,1.52411,0.79678,0.91846,0.92862,0.90259,0.94129,0.46914,1.71068,0.8311,0.90107,0.0006931,0.0006931,0.0006931
64,975.938,1.55297,0.82456,0.91458,0.94401,0.91259,0.94946,0.48333,1.68062,0.79288,0.90159,0.00068815,0.00068815,0.00068815
65,991.332,1.53702,0.81697,0.91131,0.96523,0.93502,0.96535,0.49787,1.6502,0.75335,0.89183,0.0006832,0.0006832,0.0006832
66,1006.85,1.5433,0.79562,0.91067,0.9617,0.92689,0.96354,0.49365,1.69491,0.76729,0.89615,0.00067825,0.00067825,0.00067825
67,1022.29,1.51087,0.80758,0.91731,0.96373,0.9176,0.94806,0.49728,1.65958,0.7993,0.89149,0.0006733,0.0006733,0.0006733
68,1037.82,1.50389,0.80278,0.90378,0.96147,0.91473,0.95461,0.49522,1.65771,0.77942,0.89378,0.00066835,0.00066835,0.00066835
69,1053.3,1.50555,0.7955,0.9153,0.95404,0.92465,0.95977,0.48932,1.68372,0.77199,0.89711,0.0006634,0.0006634,0.0006634
70,1068.75,1.51322,0.79904,0.90571,0.96897,0.92804,0.96301,0.49766,1.62107,0.76849,0.88634,0.00065845,0.00065845,0.00065845
71,1084.08,1.51373,0.79933,0.91917,0.96337,0.9113,0.95291,0.47346,1.72896,0.79203,0.90597,0.0006535,0.0006535,0.0006535
72,1099.45,1.50522,0.78407,0.9157,0.96092,0.93314,0.9685,0.52105,1.59273,0.74541,0.88504,0.00064855,0.00064855,0.00064855
73,1115.05,1.48957,0.78686,0.90224,0.9722,0.89628,0.96532,0.5045,1.62867,0.76414,0.88907,0.0006436,0.0006436,0.0006436
74,1130.36,1.51832,0.78137,0.91297,0.93829,0.9398,0.96674,0.50902,1.61307,0.76024,0.88958,0.00063865,0.00063865,0.00063865
75,1145.85,1.47475,0.77785,0.90004,0.98038,0.90864,0.962,0.49597,1.64782,0.7821,0.89254,0.0006337,0.0006337,0.0006337
76,1161.33,1.52108,0.80987,0.91163,0.96343,0.91604,0.95419,0.49505,1.67355,0.7752,0.89896,0.00062875,0.00062875,0.00062875
77,1176.73,1.49208,0.79643,0.91186,0.94775,0.90397,0.94925,0.50435,1.61871,0.78759,0.88858,0.0006238,0.0006238,0.0006238
78,1192.19,1.49078,0.77971,0.91195,0.96515,0.92452,0.96337,0.51032,1.6244,0.7631,0.89086,0.00061885,0.00061885,0.00061885
79,1207.66,1.44847,0.76334,0.90294,0.9641,0.93522,0.96255,0.52042,1.60043,0.75317,0.88657,0.0006139,0.0006139,0.0006139
80,1223.11,1.47939,0.75171,0.90214,0.95783,0.91172,0.96614,0.51944,1.60486,0.75482,0.88396,0.00060895,0.00060895,0.00060895
81,1238.51,1.49915,0.78378,0.9107,0.96414,0.93775,0.96852,0.52284,1.59513,0.74279,0.88595,0.000604,0.000604,0.000604
82,1254.16,1.45052,0.74313,0.90036,0.95264,0.93006,0.9598,0.48345,1.69364,0.78039,0.90134,0.00059905,0.00059905,0.00059905
83,1269.59,1.46175,0.74525,0.90274,0.95401,0.91845,0.95167,0.48651,1.64905,0.78484,0.89433,0.0005941,0.0005941,0.0005941
84,1285.1,1.4436,0.74702,0.89612,0.9688,0.92526,0.96332,0.50932,1.61405,0.74841,0.89031,0.00058915,0.00058915,0.00058915
85,1300.7,1.44946,0.75839,0.90749,0.97828,0.9253,0.96646,0.51186,1.61853,0.73243,0.88764,0.0005842,0.0005842,0.0005842
86,1316.26,1.4441,0.73983,0.90046,0.96545,0.94096,0.96357,0.5081,1.63151,0.75746,0.89084,0.00057925,0.00057925,0.00057925
87,1331.79,1.47767,0.75607,0.90543,0.9577,0.93601,0.96684,0.51437,1.61276,0.72876,0.88696,0.0005743,0.0005743,0.0005743
88,1347.02,1.42941,0.7343,0.89008,0.96729,0.92059,0.96506,0.53203,1.59374,0.73068,0.88472,0.00056935,0.00056935,0.00056935
89,1362.35,1.42847,0.73461,0.89146,0.9641,0.93744,0.96648,0.51007,1.62153,0.74713,0.8887,0.0005644,0.0005644,0.0005644
90,1377.92,1.43575,0.74115,0.90459,0.97571,0.9505,0.97442,0.50052,1.62514,0.73298,0.88823,0.00055945,0.00055945,0.00055945
91,1393.36,1.43078,0.73595,0.89484,0.97404,0.93947,0.97293,0.5111,1.60326,0.71854,0.88558,0.0005545,0.0005545,0.0005545
92,1408.91,1.43792,0.73069,0.9057,0.9737,0.91706,0.96282,0.49877,1.63483,0.72234,0.88777,0.00054955,0.00054955,0.00054955
93,1424.48,1.40909,0.73474,0.88929,0.95757,0.95332,0.97059,0.52561,1.5868,0.70784,0.88242,0.0005446,0.0005446,0.0005446
94,1440.16,1.42935,0.74779,0.89411,0.96613,0.93811,0.97554,0.51855,1.61644,0.72487,0.88744,0.00053965,0.00053965,0.00053965
95,1455.44,1.41612,0.72262,0.89697,0.95974,0.94372,0.96214,0.49837,1.64881,0.75318,0.89488,0.0005347,0.0005347,0.0005347
96,1470.97,1.41207,0.70474,0.89911,0.97109,0.93742,0.96738,0.51835,1.64204,0.72013,0.89193,0.00052975,0.00052975,0.00052975
97,1486.39,1.42073,0.72063,0.90057,0.93893,0.94861,0.968,0.5346,1.56342,0.71101,0.87785,0.0005248,0.0005248,0.0005248
98,1502.03,1.39479,0.7056,0.89352,0.97262,0.92298,0.96821,0.53327,1.5668,0.7224,0.88139,0.00051985,0.00051985,0.00051985
99,1517.41,1.39332,0.72229,0.88918,0.96458,0.93826,0.96779,0.52138,1.58132,0.7179,0.88696,0.0005149,0.0005149,0.0005149
100,1533.01,1.38706,0.6975,0.8986,0.96843,0.92803,0.96709,0.50946,1.62155,0.72829,0.8884,0.00050995,0.00050995,0.00050995
101,1548.21,1.38982,0.70583,0.88926,0.97512,0.93406,0.97483,0.51358,1.61633,0.69902,0.8876,0.000505,0.000505,0.000505
102,1563.54,1.3885,0.70943,0.88659,0.93824,0.93217,0.96408,0.51569,1.62995,0.73675,0.89061,0.00050005,0.00050005,0.00050005
103,1579.03,1.41471,0.71596,0.88946,0.97983,0.93637,0.96937,0.52011,1.62241,0.73657,0.88556,0.0004951,0.0004951,0.0004951
104,1594.29,1.36628,0.67963,0.88941,0.97284,0.93572,0.97381,0.52456,1.61225,0.7236,0.88454,0.00049015,0.00049015,0.00049015
105,1609.92,1.40307,0.71163,0.8919,0.96415,0.93855,0.96827,0.51972,1.62162,0.73433,0.88829,0.0004852,0.0004852,0.0004852
106,1625.37,1.39476,0.70008,0.89612,0.95999,0.95444,0.97138,0.53499,1.58173,0.68844,0.8816,0.00048025,0.00048025,0.00048025
107,1640.77,1.38995,0.68913,0.90082,0.96213,0.94686,0.96805,0.51458,1.63407,0.70842,0.89306,0.0004753,0.0004753,0.0004753
108,1656.26,1.37367,0.70397,0.88547,0.96942,0.94507,0.97089,0.51222,1.63584,0.70818,0.88984,0.00047035,0.00047035,0.00047035
109,1671.76,1.37924,0.68542,0.88871,0.96328,0.95394,0.97109,0.52099,1.57756,0.69736,0.88229,0.0004654,0.0004654,0.0004654
110,1687.21,1.3818,0.68993,0.88849,0.963,0.9357,0.96308,0.51059,1.59823,0.70322,0.88253,0.00046045,0.00046045,0.00046045
111,1702.57,1.36968,0.69171,0.87925,0.97874,0.94202,0.97212,0.54081,1.5536,0.68945,0.87844,0.0004555,0.0004555,0.0004555
112,1717.89,1.35378,0.6702,0.88919,0.96418,0.96131,0.97222,0.51559,1.60345,0.71077,0.88322,0.00045055,0.00045055,0.00045055
113,1733.47,1.35513,0.67082,0.88288,0.97664,0.94889,0.97587,0.5241,1.59901,0.70707,0.88094,0.0004456,0.0004456,0.0004456
114,1749.04,1.365,0.68351,0.88873,0.97732,0.94803,0.97653,0.53569,1.58601,0.68597,0.88013,0.00044065,0.00044065,0.00044065
115,1764.51,1.34938,0.6612,0.88401,0.97344,0.96021,0.97731,0.52628,1.57857,0.6858,0.88282,0.0004357,0.0004357,0.0004357
116,1779.86,1.38113,0.68361,0.88832,0.96925,0.94339,0.9726,0.53241,1.58372,0.70033,0.88143,0.00043075,0.00043075,0.00043075
117,1795.51,1.3326,0.66226,0.88317,0.96993,0.94806,0.97195,0.53742,1.54088,0.68318,0.87364,0.0004258,0.0004258,0.0004258
118,1811.04,1.34424,0.66118,0.88494,0.97693,0.94223,0.97359,0.53842,1.56163,0.67676,0.8787,0.00042085,0.00042085,0.00042085
119,1826.35,1.3415,0.6533,0.88891,0.96467,0.95017,0.96972,0.52422,1.56828,0.68983,0.88202,0.0004159,0.0004159,0.0004159
120,1841.75,1.35117,0.67465,0.87959,0.95841,0.95495,0.97221,0.52896,1.57162,0.69597,0.87807,0.00041095,0.00041095,0.00041095
121,1857.13,1.36258,0.67439,0.87804,0.9776,0.94659,0.97313,0.53046,1.54152,0.69255,0.87356,0.000406,0.000406,0.000406
122,1872.53,1.34354,0.65567,0.87611,0.96973,0.95009,0.97225,0.52396,1.57862,0.68178,0.88044,0.00040105,0.00040105,0.00040105
123,1887.99,1.33314,0.65613,0.87412,0.9743,0.94571,0.97252,0.5241,1.58244,0.68981,0.88088,0.0003961,0.0003961,0.0003961
124,1903.55,1.31661,0.6574,0.88475,0.97619,0.95426,0.9756,0.54121,1.56842,0.67484,0.8801,0.00039115,0.00039115,0.00039115
125,1919.24,1.32436,0.65616,0.88405,0.98034,0.93955,0.96932,0.53806,1.58353,0.68296,0.88055,0.0003862,0.0003862,0.0003862
126,1934.81,1.33315,0.66885,0.87802,0.97877,0.94564,0.97044,0.53967,1.55956,0.69126,0.87799,0.00038125,0.00038125,0.00038125
127,1950.02,1.35583,0.6667,0.87587,0.97715,0.94639,0.97183,0.52682,1.58984,0.67972,0.88044,0.0003763,0.0003763,0.0003763
128,1965.39,1.31755,0.64462,0.88619,0.9726,0.94049,0.96699,0.52266,1.58806,0.70084,0.87989,0.00037135,0.00037135,0.00037135
129,1980.89,1.31023,0.63934,0.87665,0.97342,0.9501,0.97279,0.51896,1.62267,0.69048,0.88307,0.0003664,0.0003664,0.0003664
130,1996.42,1.32374,0.67335,0.8714,0.9698,0.9533,0.97394,0.53258,1.56135,0.67915,0.87724,0.00036145,0.00036145,0.00036145
131,2011.88,1.30289,0.64599,0.8732,0.96915,0.94855,0.96884,0.53676,1.53751,0.68286,0.87319,0.0003565,0.0003565,0.0003565
132,2027.43,1.31098,0.6525,0.87722,0.96604,0.9519,0.96994,0.52211,1.58584,0.69583,0.88004,0.00035155,0.00035155,0.00035155
133,2042.92,1.32529,0.64279,0.88794,0.9806,0.93002,0.97525,0.53941,1.55811,0.66226,0.8767,0.0003466,0.0003466,0.0003466
134,2058.52,1.34514,0.65241,0.87766,0.97958,0.9396,0.97482,0.52568,1.5959,0.679,0.88138,0.00034165,0.00034165,0.00034165
135,2074.04,1.31031,0.64283,0.87266,0.96303,0.94016,0.96769,0.53171,1.54096,0.6799,0.87706,0.0003367,0.0003367,0.0003367
136,2089.6,1.29906,0.63529,0.87441,0.96961,0.95026,0.97135,0.53363,1.53532,0.6599,0.87569,0.00033175,0.00033175,0.00033175
137,2105,1.27893,0.63302,0.86822,0.9735,0.9439,0.9728,0.53864,1.54458,0.65984,0.87757,0.0003268,0.0003268,0.0003268
138,2120.48,1.28321,0.62322,0.87212,0.97148,0.95368,0.97575,0.53422,1.55323,0.66164,0.88032,0.00032185,0.00032185,0.00032185
139,2135.82,1.30419,0.62663,0.87795,0.96616,0.96098,0.97602,0.52741,1.564,0.66171,0.87843,0.0003169,0.0003169,0.0003169
140,2151.42,1.30777,0.64284,0.87209,0.9705,0.95439,0.9743,0.53296,1.55192,0.6779,0.87871,0.00031195,0.00031195,0.00031195
141,2167.07,1.28395,0.61232,0.86688,0.97705,0.93884,0.97167,0.53917,1.53489,0.66216,0.87573,0.000307,0.000307,0.000307
142,2182.27,1.31886,0.64592,0.87329,0.96241,0.95883,0.97385,0.53902,1.55224,0.65196,0.87855,0.00030205,0.00030205,0.00030205
143,2197.63,1.28343,0.62979,0.87463,0.9708,0.94026,0.97145,0.54408,1.52448,0.65858,0.87427,0.0002971,0.0002971,0.0002971
144,2213.17,1.26297,0.62252,0.86957,0.9743,0.92948,0.96825,0.53487,1.56647,0.67238,0.87938,0.00029215,0.00029215,0.00029215
145,2228.7,1.30707,0.63852,0.86596,0.97328,0.94671,0.97147,0.5385,1.54555,0.67562,0.87949,0.0002872,0.0002872,0.0002872
146,2244.12,1.27797,0.63501,0.86151,0.96721,0.95165,0.97295,0.53734,1.55515,0.65506,0.88065,0.00028225,0.00028225,0.00028225
147,2259.47,1.25066,0.62178,0.86517,0.96641,0.95681,0.972,0.54296,1.56031,0.66491,0.88189,0.0002773,0.0002773,0.0002773
148,2274.88,1.26667,0.62621,0.86905,0.96574,0.94718,0.97268,0.54729,1.55934,0.66558,0.87968,0.00027235,0.00027235,0.00027235
149,2290.59,1.25094,0.61093,0.87067,0.97182,0.93985,0.97227,0.54338,1.55646,0.65797,0.87671,0.0002674,0.0002674,0.0002674
150,2306,1.24801,0.60614,0.86084,0.96743,0.94791,0.97221,0.53972,1.5636,0.65848,0.87768,0.00026245,0.00026245,0.00026245
151,2321.41,1.26065,0.60862,0.86183,0.96865,0.94355,0.96992,0.53818,1.54595,0.67325,0.87445,0.0002575,0.0002575,0.0002575
152,2336.91,1.25714,0.62017,0.85861,0.97968,0.9311,0.96394,0.53568,1.58082,0.677,0.88236,0.00025255,0.00025255,0.00025255
153,2352.21,1.2475,0.6015,0.86899,0.95981,0.95885,0.96895,0.5497,1.54687,0.65464,0.87516,0.0002476,0.0002476,0.0002476
154,2367.75,1.2512,0.60605,0.86461,0.96867,0.95241,0.97147,0.54763,1.5544,0.66316,0.87774,0.00024265,0.00024265,0.00024265
155,2383.32,1.2534,0.60962,0.86096,0.97375,0.94734,0.97373,0.55216,1.54752,0.65339,0.87707,0.0002377,0.0002377,0.0002377
156,2398.85,1.24113,0.60422,0.86025,0.97632,0.95165,0.97713,0.54422,1.55057,0.66069,0.87669,0.00023275,0.00023275,0.00023275
157,2414.45,1.24521,0.59673,0.86417,0.96821,0.9502,0.96863,0.5432,1.55703,0.65944,0.87575,0.0002278,0.0002278,0.0002278
158,2429.73,1.26123,0.61551,0.86569,0.96978,0.95304,0.97193,0.54895,1.54845,0.65598,0.87739,0.00022285,0.00022285,0.00022285
159,2445.22,1.27271,0.60891,0.87275,0.97487,0.9557,0.97584,0.54487,1.56158,0.65474,0.8775,0.0002179,0.0002179,0.0002179
160,2460.72,1.20781,0.58637,0.85884,0.96559,0.95649,0.97384,0.54332,1.54482,0.66147,0.87463,0.00021295,0.00021295,0.00021295
