epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1375.79,1.44208,0.73435,0.90321,0.97385,0.91656,0.96278,0.50693,1.62527,0.74084,0.88602,0.00055945,0.00055945,0.00055945
91,1391.29,1.44179,0.74122,0.89727,0.96152,0.95147,0.9724,0.52519,1.58617,0.72532,0.88736,0.0005545,0.0005545,0.0005545
92,1406.7,1.40849,0.72244,0.89867,0.95746,0.94048,0.96903,0.50309,1.63325,0.73378,0.8886,0.00054955,0.00054955,0.00054955
93,1422.24,1.39778,0.72559,0.88519,0.97507,0.92672,0.97452,0.52729,1.5746,0.71809,0.88081,0.0005446,0.0005446,0.0005446
94,1437.66,1.41751,0.73384,0.89264,0.96547,0.93004,0.95955,0.50371,1.62885,0.75538,0.8911,0.00053965,0.00053965,0.00053965
95,1453.02,1.40213,0.72099,0.89726,0.95713,0.93947,0.96375,0.52075,1.62152,0.72315,0.8873,0.0005347,0.0005347,0.0005347
96,1468.49,1.38581,0.70023,0.89033,0.96438,0.94236,0.96452,0.50456,1.63747,0.73527,0.88893,0.00052975,0.00052975,0.00052975
97,1483.95,1.41866,0.70768,0.90046,0.97653,0.93038,0.97287,0.51534,1.60888,0.74043,0.88483,0.0005248,0.0005248,0.0005248
98,1499.34,1.39583,0.70692,0.89458,0.96134,0.90551,0.95152,0.50466,1.61643,0.75487,0.88931,0.00051985,0.00051985,0.00051985
99,1514.72,1.40649,0.73954,0.89337,0.97345,0.91831,0.96367,0.51905,1.56838,0.72851,0.88555,0.0005149,0.0005149,0.0005149
100,1530.23,1.3918,0.71226,0.89908,0.98413,0.89258,0.96591,0.49848,1.66659,0.76273,0.89518,0.00050995,0.00050995,0.00050995
101,1545.57,1.39214,0.71956,0.89536,0.95931,0.93997,0.9714,0.51811,1.63439,0.72498,0.89479,0.000505,0.000505,0.000505
102,1560.91,1.39699,0.70955,0.8938,0.97006,0.92505,0.96675,0.51787,1.5966,0.71356,0.88862,0.00050005,0.00050005,0.00050005
